"uf","media_idhm"
"AC",0.586090909090909
"AL",0.5635
"AM",0.565112903225806
"AP",0.6428125
"BA",0.593904076738609
"CE",0.616630434782609
"DF",0.824
"ES",0.692192307692308
"GO",0.694983739837398
"MA",0.576184331797235
"MG",0.667878077373974
"MS",0.679705128205128
"MT",0.684290780141844
"PA",0.581545454545455
"PB",0.587654708520179
"PE",0.596248648648649
"PI",0.571049107142857
"PR",0.701959899749373
"RJ",0.708913043478261
"RN",0.610850299401198
"RO",0.644038461538462
"RR",0.6102
"RS",0.713530241935484
"SC",0.731648464163823
"SE",0.596933333333333
"SP",0.739527131782946
"TO",0.639928057553957
